Time,RPM,Speed,Temp,CO2,Consum,Honk,Gear
1777084748666,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748695,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748724,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748775,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748786,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748818,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748850,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748885,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748912,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748943,1149.3,38.0,85.6,235.0,1.0,0,4
1777084748974,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749007,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749038,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749070,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749100,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749132,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749164,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749194,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749227,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749257,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749290,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749321,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749352,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749394,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749414,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749446,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749477,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749508,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749540,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749571,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749602,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749634,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749665,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749697,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749729,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749760,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749792,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749823,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749854,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749885,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749917,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749948,1149.3,38.0,85.6,235.0,1.0,0,4
1777084749996,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750010,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750042,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750073,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750103,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750135,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750166,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750197,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750230,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750262,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750293,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750325,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750356,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750387,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750417,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750449,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750481,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750513,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750544,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750595,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750607,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750639,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750672,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750702,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750734,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750766,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750798,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750829,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750861,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750892,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750925,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750956,1149.3,38.0,85.6,235.0,1.0,0,4
1777084750986,1149.3,38.0,85.6,235.0,1.0,0,4
1777084751019,1149.3,38.0,85.6,235.0,1.0,0,4
1777084751051,1149.3,38.0,85.6,235.0,1.0,0,4
1777084751081,1149.3,38.0,85.6,235.0,1.0,0,4
1777084751113,1149.3,38.0,85.6,235.0,1.0,0,4
