Fault,MAP,TPS,Force,Power,RPM,Consumption L/H,Consumption L/100KM,Speed,CO,HC,CO2,O2,Lambda,AFR
0,3.549,1.889,7.428,5.227,1192.769,3.057,11.72,24.901,0.46,196.089,14.356,1.08,1.047,15.385
0,3.559,1.899,7.646,5.327,1145.191,2.914,11.276,25.03,0.478,196.283,14.492,1.107,1.083,15.926
0,3.539,1.899,7.578,5.1,1208.505,2.976,11.926,24.213,0.464,200.367,14.443,1.099,1.072,15.754
0,3.519,1.889,7.371,5.255,1164.127,2.908,11.786,24.407,0.471,195.345,13.853,1.076,1.006,14.787
0,3.549,1.879,7.405,5.177,1172.032,2.898,12.169,24.875,0.468,194.979,13.752,1.06,0.984,14.47
0,3.498,1.879,7.53,5.325,1166.503,2.878,11.622,25.329,0.455,192.146,14.641,1.063,1.051,15.449
0,3.508,1.869,7.303,5.194,1165.351,2.821,11.81,24.863,0.462,194.575,13.907,1.114,1.045,15.367
0,3.508,1.879,7.478,5.227,1153.309,2.856,11.984,25.347,0.464,201.43,14.415,1.103,1.074,15.782
0,3.508,1.899,7.637,5.156,1134.233,2.926,12.029,24.973,0.464,197.878,13.828,1.061,0.991,14.565
0,3.488,1.899,7.453,5.049,1172.536,2.758,11.852,25.309,0.467,193.818,14.107,1.132,1.078,15.851
0,3.478,1.899,7.43,5.232,1168.882,2.901,12.067,25.698,0.465,187.293,14.058,1.051,0.997,14.662
0,3.458,1.889,7.574,5.135,1202.062,2.821,11.688,24.362,0.477,196.001,13.95,1.093,1.029,15.133
0,3.437,1.889,7.385,5.258,1136.703,2.976,11.822,25.445,0.483,192.415,13.91,1.067,1.002,14.732
0,3.417,1.869,7.356,5.314,1145.09,2.951,11.819,25.003,0.474,196.173,13.604,1.068,0.98,14.412
0,3.417,1.879,7.369,5.096,1155.467,2.984,11.665,26.147,0.454,198.357,14.23,1.071,1.028,15.117
0,3.427,1.889,7.44,5.168,1168.991,3.005,11.658,24.619,0.452,194.033,14.148,1.086,1.038,15.253
0,3.437,1.899,7.49,5.123,1190.214,2.901,11.649,25.377,0.494,195.906,14.292,1.087,1.049,15.424
0,3.447,1.91,7.493,5.262,1122.858,2.894,12.191,25.412,0.487,202.815,14.52,1.055,1.034,15.205
0,3.437,1.91,7.318,5.261,1125.508,2.993,12.007,24.722,0.471,190.964,14.385,1.06,1.03,15.136
0,3.427,1.91,7.406,5.125,1171.628,2.912,11.559,24.562,0.475,192.52,14.21,1.113,1.068,15.701
0,3.407,1.899,7.581,5.209,1196.748,3.003,11.556,25.856,0.475,187.146,14.618,1.124,1.11,16.311
0,3.376,1.889,7.398,5.258,1199.264,2.958,11.442,24.655,0.474,199.686,13.983,1.105,1.043,15.327
0,3.376,1.869,7.486,5.303,1146.676,2.892,12.015,25.454,0.477,197.346,14.154,1.085,1.037,15.24
0,3.386,1.889,7.505,5.309,1137.813,2.957,11.361,25.15,0.475,193.698,13.887,1.107,1.037,15.25
0,3.386,1.879,7.618,5.022,1130.342,2.849,11.961,25.245,0.466,195.815,14.29,1.046,1.009,14.84
0,3.396,1.899,7.534,5.261,1158.507,2.868,11.565,25.254,0.47,194.362,13.753,1.099,1.021,15.004
0,3.407,1.899,7.437,5.101,1175.951,2.918,11.598,24.542,0.476,198.388,14.115,1.075,1.024,15.056
0,3.407,1.899,7.449,5.246,1187.28,2.924,12.165,24.484,0.462,195.158,14.047,1.095,1.038,15.26
0,3.417,1.91,7.176,5.097,1095.968,2.929,11.99,26.008,0.473,195.479,14.431,1.067,1.039,15.275
0,3.427,1.91,7.54,5.294,1173.558,2.917,11.64,24.576,0.476,188.204,13.962,1.112,1.048,15.408
0,3.427,1.91,7.58,5.137,1177.056,2.897,11.635,24.766,0.481,194.631,13.948,1.066,1.004,14.758
0,3.437,1.91,7.655,5.146,1097.377,2.895,11.863,25.258,0.469,199.918,14.139,1.08,1.031,15.153
0,3.447,1.91,7.265,5.345,1155.351,3.025,11.45,24.974,0.486,194.666,13.774,1.101,1.024,15.046
0,3.447,1.899,7.444,5.145,1089.523,2.819,12.001,25.175,0.462,196.904,14.407,1.082,1.053,15.474
0,3.458,1.91,7.431,5.379,1186.475,2.87,11.928,24.877,0.484,192.809,14.449,1.121,1.094,16.077
0,3.468,1.899,7.616,5.255,1173.122,2.829,12.073,24.385,0.472,184.359,14.295,1.038,1.001,14.721
0,3.468,1.91,7.274,5.058,1184.254,2.93,11.587,25.96,0.477,190.648,14.253,1.087,1.046,15.37
0,3.468,1.91,7.336,5.269,1178.515,2.892,11.769,25.523,0.473,186.761,14.118,1.053,1.003,14.75
0,3.478,1.91,7.19,5.025,1186.861,2.903,11.536,23.816,0.465,199.633,13.89,1.092,1.024,15.055
0,3.488,1.889,7.463,5.252,1179.129,2.961,11.809,25.013,0.477,196.754,13.974,1.104,1.042,15.316
0,3.478,1.859,7.257,5.113,1134.447,2.921,11.733,25.692,0.482,196.089,14.294,1.128,1.089,16.006
0,3.498,1.869,7.806,5.286,1160.372,2.938,12.112,24.999,0.49,195.526,14.264,1.096,1.056,15.519
0,3.519,1.869,7.511,5.253,1138.328,2.886,11.747,24.38,0.464,193.91,13.978,1.076,1.015,14.924
0,3.539,1.889,7.502,5.392,1171.444,2.88,12.045,24.572,0.468,197.605,13.646,1.094,1.008,14.813
0,3.57,1.899,7.299,5.354,1159.379,2.984,11.65,25.003,0.469,192.091,14.425,1.059,1.032,15.164
0,3.6,1.899,7.515,5.288,1166.792,2.939,11.444,24.26,0.473,201.194,13.909,1.063,0.998,14.665
0,3.61,1.899,7.575,5.349,1147.412,2.94,11.36,25.647,0.484,195.938,13.675,1.096,1.012,14.879
0,3.621,1.899,7.622,5.285,1142.695,2.947,11.845,25.273,0.471,193.881,13.492,1.096,0.998,14.67
0,3.6,1.889,7.459,5.085,1132.552,2.822,11.78,24.423,0.479,193.645,14.331,1.079,1.044,15.341
0,3.57,1.889,7.295,5.292,1149.578,2.826,11.569,25.926,0.466,198.396,14.228,1.105,1.061,15.599
0,3.549,1.879,7.214,5.251,1159.937,2.873,11.787,24.482,0.477,202.264,13.957,1.084,1.022,15.018
0,3.559,1.869,7.266,5.37,1120.767,2.909,11.843,24.706,0.474,193.237,14.162,1.103,1.054,15.495
0,3.549,1.879,7.318,5.127,1178.508,2.88,11.826,24.495,0.469,193.523,13.574,1.098,1.006,14.792
0,3.549,1.889,7.437,4.911,1175.476,2.934,11.995,24.28,0.48,198.7,14.305,1.095,1.057,15.543
0,3.539,1.899,7.29,5.283,1162.58,2.986,11.722,25.312,0.467,190.151,14.192,1.089,1.043,15.335
0,3.519,1.889,7.701,5.237,1137.497,2.895,11.49,24.911,0.479,193.644,14.511,1.101,1.078,15.849
0,3.519,1.899,7.244,5.22,1161.994,2.982,11.509,24.827,0.473,190.464,13.849,1.051,0.982,14.439
0,3.519,1.889,7.399,5.315,1210.975,2.943,12.069,24.812,0.485,199.86,14.278,1.078,1.039,15.275
0,3.498,1.869,7.795,5.173,1203.896,2.834,11.89,25.077,0.467,193.975,14.035,1.097,1.04,15.283
0,3.498,1.879,7.805,5.169,1164.269,3.004,11.496,25.193,0.484,190.316,13.747,1.094,1.015,14.923
0,3.488,1.889,7.634,5.424,1164.85,2.932,11.606,25.11,0.462,192.138,14.274,1.104,1.064,15.634
0,3.396,1.91,7.275,5.232,1135.057,2.948,12.072,24.561,0.477,192.299,14.57,1.07,1.053,15.473
0,3.478,1.899,7.371,5.172,1118.827,2.964,11.546,24.918,0.477,200.498,13.73,1.114,1.033,15.18
0,3.458,1.889,7.625,5.0,1166.83,2.953,12.183,25.655,0.453,200.124,14.278,1.108,1.068,15.694
0,3.427,1.889,7.417,5.031,1180.238,2.945,11.699,25.786,0.463,195.468,14.176,1.076,1.03,15.143
0,3.407,1.869,7.478,5.051,1165.909,2.938,11.663,25.201,0.489,189.89,14.054,1.09,1.035,15.208
0,3.417,1.879,7.358,5.232,1153.528,2.932,11.669,25.19,0.443,191.704,14.349,1.091,1.056,15.53
0,3.407,1.899,7.558,5.287,1169.273,3.106,11.714,25.078,0.471,197.357,14.29,1.089,1.05,15.44
0,3.447,1.91,7.608,5.182,1142.778,2.934,11.57,25.5,0.464,201.003,14.249,1.057,1.016,14.939
0,3.447,1.91,7.306,5.307,1141.71,2.943,11.321,24.544,0.458,193.241,13.711,1.074,0.994,14.609
0,3.437,1.91,7.398,5.112,1131.375,2.941,11.557,24.152,0.466,197.827,14.13,1.036,0.989,14.534
